run_id,replication,randomized_position,status,backend_provider,model,data_view,prompt_template,reasoning_profile,factor_data_view,factor_model,factor_prompt_template,factor_temperature,setting_data_view,setting_inference_options.max_tokens,setting_inference_options.reasoning.enabled,setting_inference_options.temperature,setting_model,setting_prompt_template,started_at_utc,ended_at_utc,wall_clock_seconds,input_token_count,output_token_count,total_token_count,total_duration_seconds,load_duration_seconds,prompt_eval_duration_seconds,eval_duration_seconds,response_json_valid,expected_json_key_count,response_filled_key_count,response_schema_completeness,done_reason,error,prompt_path,response_path
356,3,1,success,together,deepseek-ai/DeepSeek-V3.1,stim_summary,prompts/stim_paradigm_anova.md,,stim_summary,deepseek_v3_1,prompts/stim_paradigm_anova.md,1.0,stim_summary,1800,False,1.0,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_anova.md,2026-05-03T04:05:15.306641+00:00,2026-05-03T04:05:55.425348+00:00,40.118105,1179,1800,2979,,,,,False,9,,,length,,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/prompts/run_0356.md,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/responses/run_0356.json
234,2,2,success,together,Qwen/Qwen3.5-9B,stim_and_mouse_summary,prompts/stim_paradigm_predictive.md,,stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.0,stim_and_mouse_summary,1800,False,0.0,Qwen/Qwen3.5-9B,prompts/stim_paradigm_predictive.md,2026-05-03T04:05:55.425984+00:00,2026-05-03T04:06:26.960711+00:00,31.534207,6275,1332,7607,,,,,True,11,11,1.0,stop,,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/prompts/run_0234.md,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/responses/run_0234.json
355,3,3,success,together,deepseek-ai/DeepSeek-V3.1,summary_only,prompts/stim_paradigm_anova.md,,summary_only,deepseek_v3_1,prompts/stim_paradigm_anova.md,1.0,summary_only,1800,False,1.0,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_anova.md,2026-05-03T04:06:26.961215+00:00,2026-05-03T04:06:41.828664+00:00,14.866935,961,671,1632,,,,,True,9,9,1.0,stop,,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/prompts/run_0355.md,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/responses/run_0355.json
80,1,4,success,together,deepseek-ai/DeepSeek-V3.1,stim_summary,prompts/stim_paradigm_predictive.md,,stim_summary,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.75,stim_summary,1800,False,0.75,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_predictive.md,2026-05-03T04:06:41.829220+00:00,2026-05-03T04:06:52.971647+00:00,11.141765,1247,522,1769,,,,,True,11,11,1.0,stop,,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/prompts/run_0080.md,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/responses/run_0080.json
393,3,5,success,together,Qwen/Qwen3.5-9B,stim_and_mouse_summary,prompts/stim_paradigm_anova.md,,stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.75,stim_and_mouse_summary,1800,False,0.75,Qwen/Qwen3.5-9B,prompts/stim_paradigm_anova.md,2026-05-03T04:06:52.972218+00:00,2026-05-03T04:07:07.920989+00:00,14.948265,6217,1261,7478,,,,,True,9,9,1.0,stop,,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/prompts/run_0393.md,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/responses/run_0393.json
402,3,6,success,together,Qwen/Qwen3.5-9B,stim_and_mouse_summary,prompts/stim_paradigm_anova.md,,stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,1.0,stim_and_mouse_summary,1800,False,1.0,Qwen/Qwen3.5-9B,prompts/stim_paradigm_anova.md,2026-05-03T04:07:07.921417+00:00,2026-05-03T04:07:26.360836+00:00,18.438867,6216,1466,7682,,,,,True,9,9,1.0,stop,,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/prompts/run_0402.md,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/responses/run_0402.json
262,2,7,success,together,Qwen/Qwen3.5-9B,summary_only,prompts/stim_paradigm_basic.md,,summary_only,qwen3_5_9b,prompts/stim_paradigm_basic.md,1.0,summary_only,1800,False,1.0,Qwen/Qwen3.5-9B,prompts/stim_paradigm_basic.md,2026-05-03T04:07:26.361356+00:00,2026-05-03T04:07:35.978411+00:00,9.616363,1073,929,2002,,,,,True,8,8,1.0,stop,,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/prompts/run_0262.md,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/responses/run_0262.json
321,3,8,success,together,deepseek-ai/DeepSeek-V3.1,stim_and_mouse_summary,prompts/stim_paradigm_anova.md,,stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_anova.md,0.0,stim_and_mouse_summary,1800,False,0.0,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_anova.md,2026-05-03T04:07:35.979620+00:00,2026-05-03T04:07:51.311243+00:00,15.331192,4083,584,4667,,,,,True,9,9,1.0,stop,,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/prompts/run_0321.md,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/responses/run_0321.json
292,3,9,success,together,moonshotai/Kimi-K2.5,summary_only,prompts/stim_paradigm_anova.md,,summary_only,kimi,prompts/stim_paradigm_anova.md,0.5,summary_only,1800,False,0.5,moonshotai/Kimi-K2.5,prompts/stim_paradigm_anova.md,2026-05-03T04:07:51.311786+00:00,2026-05-03T04:08:11.408942+00:00,20.096648,947,1413,2360,,,,,True,9,9,1.0,stop,,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/prompts/run_0292.md,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/responses/run_0292.json
345,3,10,success,together,deepseek-ai/DeepSeek-V3.1,stim_and_mouse_summary,prompts/stim_paradigm_basic.md,,stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_basic.md,0.75,stim_and_mouse_summary,1800,False,0.75,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_basic.md,2026-05-03T04:08:11.409522+00:00,2026-05-03T04:08:27.179283+00:00,15.769143,4034,684,4718,,,,,True,8,8,1.0,stop,,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/prompts/run_0345.md,/home/ricardo/Documents/Purdue/phd-notes/Spring_2026/STAT-51400/project/outputs/responses/run_0345.json
